Anion Size (pm),n value,Bandgap,Layer Shift Factor(t1),Layer Shift Factor (t2),Molecular weight of spacer,Nitrogen content in spacer cation,Contact Material,Work function of Contact (ev),Structure Type,Bias,Light Intensity (W/cm2),Responsivity (A/W),Detectivity (Jones)
196,3,2.34,0.5,0.5,74.15,18.89,Ag,4.26,Lateral,10,0.001,0.00133,92137698824
196,3,2.34,0.5,0.5,74.15,18.89,Ag,4.26,Lateral,10,0.002,0.00112,78411237735
196,3,2.34,0.5,0.5,74.15,18.89,Ag,4.26,Lateral,10,0.002,0.00104,72873880188
196,3,2.34,0.5,0.5,74.15,18.89,Ag,4.26,Lateral,10,0.003,0.00085,60888079712
196,3,2.34,0.5,0.5,74.15,18.89,Ag,4.26,Lateral,10,0.004,0.00071,52651745993
196,1,2.88,0.03,0.45,102.18,27.42,Au,5.1,Sandwich,5,1.00E-04,0.0042,5.00E+10
196,1,2.88,0.03,0.45,102.18,27.42,Au,5.1,Sandwich,5,0.00025,0.004,4.90E+10
196,1,2.88,0.03,0.45,102.18,27.42,Au,5.1,Sandwich,5,0.0005,0.0038,3.90E+10
196,1,2.88,0.03,0.45,102.18,27.42,Au,5.1,Sandwich,5,0.001,0.0029,3.80E+10
196,1,2.88,0.03,0.45,102.18,27.42,Au,5.1,Sandwich,5,0.0015,0.003,3.85E+10
196,1,2.88,0.03,0.45,102.18,27.42,Au,5.1,Sandwich,5,0.0025,0.0029,3.88E+10
206,1,2.17,0.39,0.44,122.19,11.46,Au,5.1,Lateral,0,2.34E-06,13.3,4.00E+12
206,1,2,0.39,0.44,122.19,11.46,Au,5.1,Lateral,-3,2.34E-06,0.4,2.00E+11
206,4,2.23,0.48,0.49,74.15,18.89,Au,5.1,Sandwich,1.5,2.20E-01,0.4,1.68E+12
206,2,2.01,0.48,0.49,74.15,18.89,Au,5.1,Lateral,0,1.40E-02,0.72,9.50E+11
206,4,1.69,0.5,0.3,62.11,45.1,Au,5.1,Sandwich,2,0.00E+00,0.35,3.00E+11
206,4,1.69,0.5,0.3,62.11,45.1,Au,5.1,Sandwich,2,1.00E+02,0.1,1.00E+11
206,4,1.69,0.5,0.3,62.11,45.1,Au,5.1,Sandwich,2,2.00E+02,0.09,9.00E+10
206,4,1.69,0.5,0.3,62.11,45.1,Au,5.1,Sandwich,2,3.00E+02,0.085,7.00E+10
206,4,1.69,0.5,0.3,62.11,45.1,Au,5.1,Sandwich,2,4.00E+02,0.062,6.50E+10
206,4,1.69,0.5,0.3,62.11,45.1,Au,5.1,Sandwich,2,5.00E+02,0.05,5.00E+10
206,4,1.69,0.5,0.3,62.11,45.1,Au,5.1,Lateral,2,226,0.125,3.00E+11
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,8.00E-06,0.2341,6.00E+12
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,7.97E-06,0.23404,1.58E+12
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,1.49E-05,0.22036,1.50E+12
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,2.62E-05,0.19245,1.34E+12
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,4.75E-05,0.18674,1.32E+12
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,0.0001,0.15127,1.04E+12
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,0.0074,0.06415,4.49E+11
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,0.0158,0.05196,3.50E+11
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,0.0361,0.03846,2.71E+11
206,2,2.02,0,0,109.15,25.67,Au,5.1,Lateral,200,0.0575,0.03259,2.33E+11
206,2,2.2,0.28,0.29,176.16,7.95,Au,5.1,Lateral,10,0.0709,1.98586,2.50E+10
206,2,2.2,0.28,0.29,176.16,7.95,Au,5.1,Lateral,10,0.036,1.41669,1.74E+10
